G	G	G	G	G	G
54451-77994	54451-78897	54451-79435	54451-78491	54451-77904	54451-77951	
54451-78456	54451-77994	54451-78913	54451-77848	54451-78520	54451-77904	
54451-78719	54451-78857	54451-78295	54451-79435	54451-77904	54451-78675	
54451-78456	54451-77967	54451-78913	54451-77848	54451-79435	54451-78491	
54451-78913	54451-78600	54451-78857	54451-78295	54451-78491	54451-77904	
54451-77967	54451-78355	54451-78295	54451-79435	54451-78491	54451-79018	
54451-78913	54451-78520	54451-78600	54451-79435	54451-78675	54451-79018	
54451-78913	54451-78520	54451-78600	54451-78857	54451-79435	54451-78491	
54451-78913	54451-77848	54451-116964	54451-79435	54451-78491	54451-78675	
54451-78913	54451-78295	54451-78491	54451-78346	54451-77951	54451-79018	
54451-77967	54451-79435	54451-78491	54451-77904	54451-77951	54451-79018	
54451-77994	54451-77848	54451-78520	54451-79435	54451-78675	54451-77951	
54451-78456	54451-77994	54451-78897	54451-79435	54451-78491	54451-77951	
54451-78456	54451-78394	54451-78843	54451-78857	54451-79435	54451-78346	
54451-77994	54451-78913	54451-78782	54451-79435	54451-77951	54451-79018	
54451-77848	54451-78520	54451-78897	54451-79435	54451-77904	54451-78675	
54451-78456	54451-78913	54451-77848	54451-78295	54451-77951	54451-79018	
54451-77967	54451-77994	54451-78913	54451-78295	54451-77904	54451-79018	
54451-78913	54451-78223	54451-77848	54451-78520	54451-79435	54451-77951	
54451-77994	54451-78355	54451-78491	54451-77904	54451-78675	54451-79018	
54451-77967	54451-78913	54451-78295	54451-79435	54451-77951	54451-79018	
54451-77994	54451-78600	54451-77997	54451-78857	54451-78491	54451-78675	
54451-77994	54451-78719	54451-77997	54451-78857	54451-78295	54451-78491	
54451-77967	54451-77994	54451-77848	54451-78897	54451-79435	54451-77951	
54451-77994	54451-78520	54451-79435	54451-78491	54451-78675	54451-79018	
54451-77994	54451-78223	54451-79435	54451-78491	54451-77904	54451-77951	
54451-78913	54451-78355	54451-79435	54451-78491	54451-78675	54451-78346	
54451-78843	54451-77848	54451-78520	54451-79435	54451-78491	54451-77951	
54451-78355	54451-78295	54451-79435	54451-78491	54451-78675	54451-78346	
54451-78843	54451-78355	54451-78520	54451-79435	54451-78491	54451-79018	
54451-78394	54451-77994	54451-77848	54451-79435	54451-78491	54451-77951	
54451-77994	54451-78913	54451-77848	54451-78295	54451-78491	54451-78675	
54451-77994	54451-78897	54451-79435	54451-78491	54451-78346	54451-77951	
54451-78456	54451-78913	54451-78223	54451-77848	54451-78520	54451-79435	
54451-77994	54451-78913	54451-78719	54451-78295	54451-79435	54451-78675	
54451-78843	54451-78913	54451-78600	54451-78295	54451-78491	54451-79018	
54451-78355	54451-78600	54451-79435	54451-78491	54451-112141	54451-79018	
54451-78913	54451-78355	54451-78295	54451-79435	54451-78491	54451-78675	
54451-78913	54451-78355	54451-78520	54451-79435	54451-78491	54451-78346	
54451-77967	54451-77994	54451-78913	54451-79435	54451-77904	54451-77951	
54451-78897	54451-79435	54451-78491	54451-77904	54451-78346	54451-77951	
54451-78913	54451-78355	54451-77848	54451-78600	54451-78295	54451-78491	
54451-78355	54451-78520	54451-78295	54451-79435	54451-78491	54451-77904	
54451-78719	54451-78355	54451-78600	54451-79435	54451-78675	54451-79018	
54451-78913	54451-78719	54451-77997	54451-78857	54451-78295	54451-78491	
54451-78913	54451-78355	54451-77848	54451-78520	54451-79435	54451-77951	
54451-78394	54451-77994	54451-79435	54451-78491	54451-77951	54451-79018	
54451-78782	54451-78295	54451-79435	54451-77904	54451-77951	54451-79018	
54451-78456	54451-78394	54451-78843	54451-77997	54451-78857	54451-79435	
54451-78913	54451-78355	54451-77997	54451-78857	54451-78295	54451-78491	
54451-77967	54451-78913	54451-78355	54451-77848	54451-78295	54451-79018	
54451-78913	54451-78857	54451-78491	54451-77904	54451-78675	54451-79018	
54451-77994	54451-78295	54451-78897	54451-79435	54451-77904	54451-77951	
54451-77994	54451-78913	54451-78355	54451-78520	54451-78295	54451-79435	
54451-77967	54451-77994	54451-78913	54451-77848	54451-77951	54451-79018	
54451-78913	54451-78719	54451-78600	54451-78295	54451-79435	54451-78491	
54451-77967	54451-77848	54451-78295	54451-77904	54451-77951	54451-79018	
54451-78223	54451-77848	54451-78520	54451-79435	54451-77904	54451-77951	
54451-78719	54451-78600	54451-79435	54451-78491	54451-78675	54451-79018	
54451-77994	54451-77848	54451-116964	54451-78897	54451-79435	54451-77951	
54451-78913	54451-78355	54451-77848	54451-78520	54451-78491	54451-79018	
54451-78913	54451-77848	54451-78295	54451-78491	54451-112141	54451-79018	
54451-78913	54451-78600	54451-78857	54451-78491	54451-78675	54451-79018	
54451-77994	54451-77997	54451-78857	54451-78295	54451-78491	54451-78675	
54451-78355	54451-78897	54451-79435	54451-78491	54451-77951	54451-79018	
54451-77967	54451-78355	54451-79435	54451-77904	54451-77951	54451-79018	
54451-78456	54451-77994	54451-78355	54451-79435	54451-77904	54451-77951	
54451-77994	54451-78355	54451-79435	54451-78491	54451-78346	54451-112141	
54451-77994	54451-78913	54451-78719	54451-78520	54451-78857	54451-79435	
54451-78913	54451-77848	54451-78857	54451-78295	54451-78491	54451-78675	
54451-78600	54451-78857	54451-78295	54451-79435	54451-78491	54451-78675	
54451-78456	54451-78394	54451-78843	54451-77848	54451-78295	54451-79435	
54451-77848	54451-79435	54451-78491	54451-77904	54451-78675	54451-112141	
54451-78913	54451-78355	54451-78520	54451-78295	54451-79435	54451-77904	
54451-77994	54451-78913	54451-78520	54451-77997	54451-78857	54451-78491	
54451-78913	54451-77848	54451-78520	54451-78857	54451-78675	54451-79018	
54451-78456	54451-78394	54451-78843	54451-77848	54451-77997	54451-78346	
54451-77994	54451-78913	54451-78295	54451-78491	54451-77951	54451-79018	
54451-77967	54451-78600	54451-78295	54451-79435	54451-77951	54451-79018	
54451-77994	54451-78355	54451-78295	54451-77904	54451-78675	54451-79018	
54451-78913	54451-78719	54451-77848	54451-78857	54451-78295	54451-78491	
54451-78913	54451-77848	54451-78600	54451-79435	54451-78675	54451-112141	
54451-77967	54451-77994	54451-78913	54451-79435	54451-78491	54451-77951	
54451-78913	54451-78223	54451-78295	54451-79435	54451-77951	54451-79018	
54451-78355	54451-77848	54451-78897	54451-79435	54451-78491	54451-77951	
54451-78456	54451-78394	54451-78843	54451-77848	54451-78857	54451-78346	
54451-77967	54451-77994	54451-79435	54451-78491	54451-77951	54451-79018	
54451-78456	54451-77994	54451-78295	54451-79435	54451-78491	54451-77951	
54451-77848	54451-78520	54451-78295	54451-79435	54451-78491	54451-78675	
54451-78394	54451-78913	54451-77848	54451-78520	54451-78857	54451-79435	
54451-78394	54451-77967	54451-78913	54451-77848	54451-79435	54451-77904	
54451-77994	54451-78913	54451-78355	54451-79435	54451-78491	54451-77951	
54451-78913	54451-78719	54451-78355	54451-79435	54451-78491	54451-77904	
54451-78355	54451-77848	54451-78295	54451-79435	54451-78491	54451-112141	
54451-78843	54451-77994	54451-78355	54451-79435	54451-78491	54451-78675	
